# This document gives the data used to make Figure 3(a) in the accompanying
# LIGO Document LIGO-P1200087.  It is derived as the concatenation of the files
# PlotRatesData-HundredSlideBkg-NoEvent.txt and 
# PlotRatesData-ExtendedBkg-NoEvent.txt from LIGO Document P1100034;
# see that document for more details.
#
# For questions regarding the use of this material, please contact the LSC
# spokesperson Gabriela Gonzalez <gonzalez@lsu.edu> and the Virgo 
# spokesperson Jean-Yves Vinet <Jean-Yves.Vinet@oca.eu>.
#
# Combined NewSNR	Cumulative Rate (yr^-1)	y-error (+/- yr^-1)
8.000032	2325.924546	14.237203
8.000046	2325.837397	14.236936
8.000075	2325.750248	14.236669
8.000076	2325.663099	14.236403
8.000087	2325.575950	14.236136
8.000090	2325.488801	14.235869
8.000111	2325.401651	14.235602
8.000111	2325.314502	14.235336
8.000136	2325.227353	14.235069
8.000148	2325.140204	14.234802
8.000157	2325.053055	14.234535
8.000158	2324.965905	14.234269
8.000164	2324.878756	14.234002
8.000201	2324.791607	14.233735
8.000205	2324.704458	14.233468
8.000248	2324.617309	14.233201
8.000250	2324.530160	14.232935
8.000273	2324.443010	14.232668
8.000276	2324.355861	14.232401
8.000281	2324.268712	14.232134
8.000283	2324.181563	14.231867
8.000290	2324.094414	14.231601
8.000293	2324.007264	14.231334
8.000304	2323.920115	14.231067
8.000319	2323.832966	14.230800
8.000344	2323.745817	14.230533
8.000350	2323.658668	14.230266
8.000358	2323.571519	14.230000
8.000361	2323.484369	14.229733
8.000363	2323.397220	14.229466
8.000363	2323.310071	14.229199
8.000368	2323.222922	14.228932
8.000370	2323.135773	14.228665
8.000372	2323.048623	14.228398
8.000388	2322.961474	14.228131
8.000400	2322.874325	14.227864
8.000404	2322.787176	14.227598
8.000407	2322.700027	14.227331
8.000418	2322.612878	14.227064
8.000418	2322.525728	14.226797
8.000419	2322.438579	14.226530
8.000434	2322.351430	14.226263
8.000441	2322.264281	14.225996
8.000450	2322.177132	14.225729
8.000455	2322.089982	14.225462
8.000455	2322.002833	14.225195
8.000455	2321.915684	14.224928
8.000468	2321.828535	14.224661
8.000473	2321.741386	14.224394
8.000473	2321.654237	14.224127
8.000527	2321.567087	14.223860
8.000531	2321.479938	14.223593
8.000533	2321.392789	14.223326
8.000553	2321.305640	14.223059
8.000570	2321.218491	14.222792
8.000583	2321.131341	14.222525
8.000594	2321.044192	14.222258
8.000597	2320.957043	14.221991
8.000598	2320.869894	14.221724
8.000606	2320.782745	14.221457
8.000607	2320.695595	14.221190
8.000625	2320.608446	14.220923
8.000634	2320.521297	14.220656
8.000663	2320.434148	14.220389
8.000666	2320.346999	14.220122
8.000668	2320.259850	14.219855
8.000668	2320.172700	14.219588
8.000675	2320.085551	14.219321
8.000684	2319.998402	14.219054
8.000685	2319.911253	14.218787
8.000694	2319.824104	14.218520
8.000702	2319.736954	14.218253
8.000702	2319.649805	14.217986
8.000706	2319.562656	14.217719
8.000709	2319.475507	14.217452
8.000711	2319.388358	14.217184
8.000722	2319.301209	14.216917
8.000725	2319.214059	14.216650
8.000725	2319.126910	14.216383
8.000729	2319.039761	14.216116
8.000738	2318.952612	14.215849
8.000740	2318.865463	14.215582
8.000744	2318.778313	14.215315
8.000763	2318.691164	14.215048
8.000770	2318.604015	14.214780
8.000815	2318.516866	14.214513
8.000818	2318.429717	14.214246
8.000828	2318.342568	14.213979
8.000856	2318.255418	14.213712
8.000863	2318.168269	14.213445
8.000868	2318.081120	14.213177
8.000891	2317.993971	14.212910
8.000909	2317.906822	14.212643
8.000929	2317.819672	14.212376
8.000946	2317.732523	14.212109
8.000957	2317.645374	14.211841
8.000967	2317.558225	14.211574
8.000981	2317.471076	14.211307
8.000985	2317.383927	14.211040
8.000998	2317.296777	14.210773
8.001000	2317.209628	14.210505
8.001055	2317.122479	14.210238
8.001067	2317.035330	14.209971
8.001067	2316.948181	14.209704
8.001071	2316.861031	14.209436
8.001074	2316.773882	14.209169
8.001075	2316.686733	14.208902
8.001085	2316.599584	14.208635
8.001097	2316.512435	14.208367
8.001100	2316.425286	14.208100
8.001109	2316.338136	14.207833
8.001112	2316.250987	14.207566
8.001113	2316.163838	14.207298
8.001115	2316.076689	14.207031
8.001120	2315.989540	14.206764
8.001127	2315.902390	14.206496
8.001129	2315.815241	14.206229
8.001147	2315.728092	14.205962
8.001151	2315.640943	14.205695
8.001161	2315.553794	14.205427
8.001182	2315.466645	14.205160
8.001262	2315.379495	14.204893
8.001265	2315.292346	14.204625
8.001269	2315.205197	14.204358
8.001278	2315.118048	14.204091
8.001285	2315.030899	14.203823
8.001287	2314.943749	14.203556
8.001303	2314.856600	14.203289
8.001307	2314.769451	14.203021
8.001324	2314.682302	14.202754
8.001331	2314.595153	14.202486
8.001336	2314.508004	14.202219
8.001355	2314.420854	14.201952
8.001357	2314.333705	14.201684
8.001357	2314.246556	14.201417
8.001360	2314.159407	14.201149
8.001360	2314.072258	14.200882
8.001364	2313.985108	14.200615
8.001369	2313.897959	14.200347
8.001380	2313.810810	14.200080
8.001389	2313.723661	14.199812
8.001398	2313.636512	14.199545
8.001421	2313.549362	14.199278
8.001425	2313.462213	14.199010
8.001426	2313.375064	14.198743
8.001427	2313.287915	14.198475
8.001435	2313.200766	14.198208
8.001471	2313.113617	14.197940
8.001478	2313.026467	14.197673
8.001478	2312.939318	14.197405
8.001504	2312.852169	14.197138
8.001507	2312.765020	14.196870
8.001510	2312.677871	14.196603
8.001520	2312.590721	14.196335
8.001523	2312.503572	14.196068
8.001540	2312.416423	14.195800
8.001541	2312.329274	14.195533
8.001547	2312.242125	14.195265
8.001547	2312.154976	14.194998
8.001548	2312.067826	14.194730
8.001555	2311.980677	14.194463
8.001564	2311.893528	14.194195
8.001569	2311.806379	14.193928
8.001577	2311.719230	14.193660
8.001587	2311.632080	14.193393
8.001591	2311.544931	14.193125
8.001594	2311.457782	14.192858
8.001600	2311.370633	14.192590
8.001613	2311.283484	14.192322
8.001637	2311.196335	14.192055
8.001642	2311.109185	14.191787
8.001643	2311.022036	14.191520
8.001658	2310.934887	14.191252
8.001660	2310.847738	14.190985
8.001666	2310.760589	14.190717
8.001687	2310.673439	14.190449
8.001689	2310.586290	14.190182
8.001696	2310.499141	14.189914
8.001696	2310.411992	14.189647
8.001699	2310.324843	14.189379
8.001701	2310.237694	14.189111
8.001709	2310.150544	14.188844
8.001712	2310.063395	14.188576
8.001713	2309.976246	14.188308
8.001723	2309.889097	14.188041
8.001725	2309.801948	14.187773
8.001728	2309.714798	14.187505
8.001731	2309.627649	14.187238
8.001732	2309.540500	14.186970
8.001740	2309.453351	14.186702
8.001767	2309.366202	14.186435
8.001772	2309.279053	14.186167
8.001773	2309.191903	14.185899
8.001776	2309.104754	14.185632
8.001783	2309.017605	14.185364
8.001783	2308.930456	14.185096
8.001791	2308.843307	14.184829
8.001800	2308.756157	14.184561
8.001817	2308.669008	14.184293
8.001820	2308.581859	14.184025
8.001847	2308.494710	14.183758
8.001854	2308.407561	14.183490
8.001857	2308.320412	14.183222
8.001861	2308.233262	14.182955
8.001870	2308.146113	14.182687
8.001889	2308.058964	14.182419
8.001890	2307.971815	14.182151
8.001893	2307.884666	14.181884
8.001898	2307.797516	14.181616
8.001906	2307.710367	14.181348
8.001908	2307.623218	14.181080
8.001911	2307.536069	14.180812
8.001927	2307.448920	14.180545
8.001935	2307.361770	14.180277
8.001937	2307.274621	14.180009
8.001947	2307.187472	14.179741
8.001947	2307.100323	14.179473
8.001950	2307.013174	14.179206
8.001959	2306.926025	14.178938
8.001979	2306.838875	14.178670
8.001986	2306.751726	14.178402
8.001988	2306.664577	14.178134
8.002001	2306.577428	14.177866
8.002004	2306.490279	14.177599
8.002010	2306.403129	14.177331
8.002010	2306.315980	14.177063
8.002013	2306.228831	14.176795
8.002042	2306.141682	14.176527
8.002050	2306.054533	14.176259
8.002079	2305.967384	14.175991
8.002093	2305.880234	14.175724
8.002096	2305.793085	14.175456
8.002100	2305.705936	14.175188
8.002100	2305.618787	14.174920
8.002118	2305.531638	14.174652
8.002124	2305.444488	14.174384
8.002130	2305.357339	14.174116
8.002174	2305.270190	14.173848
8.002176	2305.183041	14.173580
8.002179	2305.095892	14.173312
8.002189	2305.008743	14.173045
8.002189	2304.921593	14.172777
8.002216	2304.834444	14.172509
8.002231	2304.747295	14.172241
8.002234	2304.660146	14.171973
8.002241	2304.572997	14.171705
8.002244	2304.485847	14.171437
8.002277	2304.398698	14.171169
8.002282	2304.311549	14.170901
8.002284	2304.224400	14.170633
8.002290	2304.137251	14.170365
8.002311	2304.050102	14.170097
8.002312	2303.962952	14.169829
8.002315	2303.875803	14.169561
8.002329	2303.788654	14.169293
8.002346	2303.701505	14.169025
8.002347	2303.614356	14.168757
8.002350	2303.527206	14.168489
8.002358	2303.440057	14.168221
8.002389	2303.352908	14.167953
8.002392	2303.265759	14.167685
8.002401	2303.178610	14.167417
8.002401	2303.091461	14.167149
8.002407	2303.004311	14.166881
8.002412	2302.917162	14.166613
8.002421	2302.830013	14.166345
8.002423	2302.742864	14.166077
8.002428	2302.655715	14.165809
8.002437	2302.568565	14.165540
8.002442	2302.481416	14.165272
8.002455	2302.394267	14.165004
8.002458	2302.307118	14.164736
8.002463	2302.219969	14.164468
8.002468	2302.132820	14.164200
8.002474	2302.045670	14.163932
8.002484	2301.958521	14.163664
8.002484	2301.871372	14.163396
8.002492	2301.784223	14.163128
8.002495	2301.697074	14.162859
8.002518	2301.609924	14.162591
8.002540	2301.522775	14.162323
8.002548	2301.435626	14.162055
8.002550	2301.348477	14.161787
8.002585	2301.261328	14.161519
8.002592	2301.174178	14.161251
8.002608	2301.087029	14.160982
8.002624	2300.999880	14.160714
8.002624	2300.912731	14.160446
8.002633	2300.825582	14.160178
8.002639	2300.738433	14.159910
8.002643	2300.651283	14.159642
8.002644	2300.564134	14.159373
8.002657	2300.476985	14.159105
8.002662	2300.389836	14.158837
8.002665	2300.302687	14.158569
8.002671	2300.215537	14.158301
8.002688	2300.128388	14.158032
8.002710	2300.041239	14.157764
8.002714	2299.954090	14.157496
8.002720	2299.866941	14.157228
8.002721	2299.779792	14.156959
8.002726	2299.692642	14.156691
8.002730	2299.605493	14.156423
8.002737	2299.518344	14.156155
8.002749	2299.431195	14.155887
8.002755	2299.344046	14.155618
8.002769	2299.256896	14.155350
8.002778	2299.169747	14.155082
8.002805	2299.082598	14.154813
8.002809	2298.995449	14.154545
8.002845	2298.908300	14.154277
8.002845	2298.821151	14.154009
8.002857	2298.734001	14.153740
8.002859	2298.646852	14.153472
8.002867	2298.559703	14.153204
8.002873	2298.472554	14.152935
8.002884	2298.385405	14.152667
8.002893	2298.298255	14.152399
8.002895	2298.211106	14.152130
8.002902	2298.123957	14.151862
8.002914	2298.036808	14.151594
8.002915	2297.949659	14.151325
8.002921	2297.862510	14.151057
8.002934	2297.775360	14.150789
8.002963	2297.688211	14.150520
8.002966	2297.601062	14.150252
8.002971	2297.513913	14.149984
8.002973	2297.426764	14.149715
8.002974	2297.339614	14.149447
8.002986	2297.252465	14.149179
8.002988	2297.165316	14.148910
8.002989	2297.078167	14.148642
8.002992	2296.991018	14.148373
8.002999	2296.903869	14.148105
8.003002	2296.816719	14.147837
8.003004	2296.729570	14.147568
8.003017	2296.642421	14.147300
8.003020	2296.555272	14.147031
8.003030	2296.468123	14.146763
8.003032	2296.380973	14.146494
8.003059	2296.293824	14.146226
8.003061	2296.206675	14.145958
8.003065	2296.119526	14.145689
8.003073	2296.032377	14.145421
8.003075	2295.945228	14.145152
8.003076	2295.858078	14.144884
8.003081	2295.770929	14.144615
8.003083	2295.683780	14.144347
8.003099	2295.596631	14.144078
8.003102	2295.509482	14.143810
8.003106	2295.422332	14.143541
8.003116	2295.335183	14.143273
8.003128	2295.248034	14.143004
8.003142	2295.160885	14.142736
8.003161	2295.073736	14.142467
8.003169	2294.986586	14.142199
8.003171	2294.899437	14.141930
8.003178	2294.812288	14.141662
8.003183	2294.725139	14.141393
8.003188	2294.637990	14.141125
8.003201	2294.550841	14.140856
8.003213	2294.463691	14.140588
8.003216	2294.376542	14.140319
8.003217	2294.289393	14.140051
8.003221	2294.202244	14.139782
8.003222	2294.115095	14.139513
8.003242	2294.027945	14.139245
8.003247	2293.940796	14.138976
8.003253	2293.853647	14.138708
8.003266	2293.766498	14.138439
8.003267	2293.679349	14.138171
8.003271	2293.592200	14.137902
8.003283	2293.505050	14.137633
8.003312	2293.417901	14.137365
8.003313	2293.330752	14.137096
8.003322	2293.243603	14.136827
8.003335	2293.156454	14.136559
8.003336	2293.069304	14.136290
8.003338	2292.982155	14.136022
8.003340	2292.895006	14.135753
8.003347	2292.807857	14.135484
8.003350	2292.720708	14.135216
8.003350	2292.633559	14.134947
8.003365	2292.546409	14.134678
8.003385	2292.459260	14.134410
8.003393	2292.372111	14.134141
8.003410	2292.284962	14.133872
8.003420	2292.197813	14.133604
8.003471	2292.110663	14.133335
8.003528	2292.023514	14.133066
8.003539	2291.936365	14.132798
8.003543	2291.849216	14.132529
8.003544	2291.762067	14.132260
8.003574	2291.674918	14.131992
8.003577	2291.587768	14.131723
8.003591	2291.500619	14.131454
8.003600	2291.413470	14.131185
8.003617	2291.326321	14.130917
8.003618	2291.239172	14.130648
8.003621	2291.152022	14.130379
8.003628	2291.064873	14.130110
8.003637	2290.977724	14.129842
8.003651	2290.890575	14.129573
8.003652	2290.803426	14.129304
8.003657	2290.716277	14.129035
8.003677	2290.629127	14.128767
8.003682	2290.541978	14.128498
8.003699	2290.454829	14.128229
8.003707	2290.367680	14.127960
8.003719	2290.280531	14.127692
8.003721	2290.193381	14.127423
8.003727	2290.106232	14.127154
8.003753	2290.019083	14.126885
8.003789	2289.931934	14.126616
8.003800	2289.844785	14.126347
8.003831	2289.757636	14.126079
8.003832	2289.670486	14.125810
8.003857	2289.583337	14.125541
8.003863	2289.496188	14.125272
8.003867	2289.409039	14.125003
8.003871	2289.321890	14.124735
8.003872	2289.234740	14.124466
8.003882	2289.147591	14.124197
8.003897	2289.060442	14.123928
8.003919	2288.973293	14.123659
8.003945	2288.886144	14.123390
8.003949	2288.798995	14.123121
8.003950	2288.711845	14.122852
8.003952	2288.624696	14.122584
8.003955	2288.537547	14.122315
8.003988	2288.450398	14.122046
8.004005	2288.363249	14.121777
8.004015	2288.276099	14.121508
8.004016	2288.188950	14.121239
